ico couple,date,higherEx,lowerEx,tradeValueMargin,tradeValueMarginPct,minTradbleQtty,tradeValueBuy,tradeValueSell
ada_btc-ADABTC,2018-01-15 19:27:32,gateIo,binance,2.795270781281888E-4,0.11275947712418301,40.50600476,0.002478967491312,0.0027689904853936
bcd_btc-BCDBTC,2018-01-15 19:27:33,binance,gateIo,0.00471148008490692,4.057020560747663,0.72356094,0.0011613153087,0.00588689180784
iota_btc-IOTABTC,2018-01-15 19:27:39,gateIo,binance,2.6075585599930474E-4,0.025211982620626724,39.41815961,0.010342536718471799,0.0106452681842766
xrp_btc-XRPBTC,2018-01-15 19:27:43,gateIo,binance,4.904453635575297E-4,0.10849793798686427,34.52206868,0.004520319672959199,0.005029865406675999
ada_btc-ADABTC,2018-01-15 19:28:01,gateIo,binance,2.803371982233887E-4,0.11310475567903247,40.50600476,0.0024785624312644,0.0027693955454412
bcd_btc-BCDBTC,2018-01-15 19:28:02,binance,gateIo,0.00471797910927,4.062616822429907,0.72356094,0.0011613153087,0.0058934038563
iota_btc-IOTABTC,2018-01-15 19:28:08,gateIo,binance,2.5768509575289613E-4,0.02490548780487806,39.43033048,0.010346518717952,0.0106461892296
xrp_btc-XRPBTC,2018-01-15 19:28:13,gateIo,binance,1.376864E-4,0.10536149372513011,10.0,0.0013067999999999999,0.00145
ada_btc-ADABTC,2018-01-15 19:28:31,gateIo,binance,2.8155156824609406E-4,0.113613272311213,40.50600476,0.0024781573712168,0.0027702056655364003
bcd_btc-BCDBTC,2018-01-15 19:28:33,binance,gateIo,0.00467320805254656,4.024064797507788,0.72356094,0.0011613153087,0.0058485430780200005
iota_btc-IOTABTC,2018-01-15 19:28:39,gateIo,binance,1.1799431999999988E-4,0.024983764006402905,18.0,0.00472284,0.00486
xrp_btc-XRPBTC,2018-01-15 19:28:43,gateIo,binance,1.3897699999999987E-4,0.10621092854413439,10.0,0.0013085000000000002,0.001453
ada_btc-ADABTC,2018-01-15 19:29:01,gateIo,binance,2.8195419793340833E-4,0.11375714986108854,40.50600476,0.0024785624312644,0.0027710157856316005
